Abkhaz	abk	ab	\p{IsCyrillic}	
Adyghe	ady		\p{IsCyrillic}	
Afrihili	afh		\-'a-zA-ZɛƐɔƆ	
Afrikaans	afr	af		
Ainu	ain		\u4E00-\u9FFF\uF900-\uFAFF\u3040-\u30FF\u31F0-\u31FF	
Aklanon	akl			
Albanian	sqi	sq		
Algerian Arabic	arq	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Amharic	amh	am	\u1200-\u135F\u1380-\u139F\u2D80-\u2DDF\uAB00-\uAB2F	
Ancient Greek	grc		\p{IsGreek}	
Ancient Hebrew	hbo	iw	'\u0590-\u05FF\uFB1D-\uFB28\uFB2A-\uFB4F	rtl
Arabic	ara	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Aragonese	arg	an		
Armenian	hye	hy	\p{IsArmenian}	
Assamese	asm	as	\p{IsBengali}	
Assyrian Neo-Aramaic	aii		\p{IsSyriac}\p{IsZinh}	rtl
Asturian	ast			
Awadhi	awa		\p{IsDevanagari}\{IsKaithi}	
Aymara	aym	ay		
Azerbaijani	aze	az	\p{IsLatin}	
Balinese	ban		\p{IsLatin}\p{IsBalinese}	
Baluchi	bal	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Bambara	bam	bm	\p{IsLatin}	
Banjar	bjn	ms		
Bashkir	bak	ba	\p{IsCyrillic}	
Basque	eus	eu		
Bavarian	bar			
Baybayanon	bvy			
Belarusian	bel	be	\p{IsCyrillic}	
Bengali	ben	bn	\p{IsBengali}	
Berber	ber		\p{IsLatin}	
Bhojpuri	bho		\p{IsDevanagari}	
Bislama	bis	bi		
Bodo	brx		\p{IsLatin}\p{IsDevanagari}	
Bosnian	bos	bs		
Breton	bre	br		
Brithenig	bzt			
Bulgarian	bul	bg	\p{IsCyrillic}	
Burmese	mya	my	\u1000-\u103F\u104C-\u108F\u109A-\u109D\uA9E0-\uAA7F	
Buryat	bua		\p{IsCyrillic}	
Cantonese	yue	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Catalan	cat	ca		
Cayuga	cay		\u0301\u0328':;ʔadeg-knor-uwyzęǫáéíóúADEG-KNOR-UWYZĘǪÁÉÍÓÚ	
Cebuano	ceb			
Central Bikol	bcl			
Central Dusun	dtp			
Central Huasteca Nahuatl	nch			
Central Mnong	cmo		\u1780-\u17D3\u17D7-\u17DD	
